Time in ms;Pos hand in x;
3.38;-85.11794;
3.4;-80.25978;
3.42;-79.13465;
3.44;-78.30899;
3.46;-76.37084;
3.48;-74.72976;
3.5;-71.31997;
3.52;-71.31997;
3.54;-68.97535;
3.56;-66.25852;
3.58;-62.11662;
3.6;-60.04516;
3.62;-58.11959;
3.64;-56.19584;
3.66;-54.84443;
3.68;-53.02339;
3.7;-52.5954;
3.72;-52.32076;
3.74;-52.11111;
3.76;-52.10808;
3.78;-52.56524;
3.8;-53.06513;
3.82;-53.44478;
3.84;-53.44478;
3.86;-53.79626;
3.88;-53.57335;
3.9;-53.02327;
3.92;-51.97861;
3.94;-50.37098;
3.96;-48.31905;
3.98;-42.79724;
4;-39.62643;
4.02;-36.47586;
4.04;-33.31062;
4.06;-26.87862;
4.08;-23.62032;
4.1;-20.12527;
4.12;-16.8616;
4.14;-13.12395;
4.16;-4.676538;
4.18;-4.676538;
4.2;-0.1111259;
4.22;4.672521;
4.24;9.664185;
4.26;20.33819;
4.28;25.79617;
4.3;30.76532;
4.32;35.84275;
4.34;40.3846;
4.36;47.24041;
4.38;49.85257;
4.4;52.09532;
4.42;54.02297;
4.44;55.76438;
4.46;58.0673;
4.48;58.81798;
4.5;59.28143;
4.52;59.61087;
4.54;60.42369;
4.56;60.55363;
4.58;60.55363;
4.6;60.6301;
4.62;60.72368;
4.64;60.86672;
4.66;60.91914;
4.68;60.95438;
4.7;60.8792;
4.72;60.74409;
4.74;60.34341;
4.76;59.69476;
4.78;58.49293;
4.8;56.51969;
4.82;52.94698;
4.84;41.93238;
4.86;34.41457;
4.88;34.41457;
4.9;16.81161;
4.92;16.81161;
4.94;-4.261003;
4.96;-15.82757;
4.98;-27.99218;
5;-39.88786;
5.02;-51.33008;
5.04;-72.65968;
5.06;-81.44949;
5.08;-88.94575;
5.1;-95.59181;
5.12;-106.0651;
5.14;-109.9256;
5.16;-112.6052;
5.18;-114.9148;
5.2;-116.0368;
5.22;-116.4588;
5.24;-115.9314;
5.26;-113.6935;
5.28;-109.9807;
5.3;-109.9807;
5.32;-99.95946;
5.34;-93.9375;
5.36;-84.957;
5.38;-77.56841;
5.4;-68.72849;
5.42;-52.62667;
5.44;-40.70794;
5.46;-29.78622;
5.48;-19.38697;
5.5;-12.70794;
5.52;10.96051;
5.54;10.96051;
5.56;10.96051;
5.58;10.96051;
5.6;39.54408;
5.62;51.99585;
5.64;51.99585;
5.66;57.32804;
5.68;62.1851;
5.7;69.85738;
5.72;71.75336;
5.74;73.22047;
5.76;75.14465;
5.78;76.08194;
5.8;76.4161;
5.82;75.97612;
5.84;74.54323;
5.86;72.22855;
5.88;68.94156;
5.9;59.04411;
5.92;52.67075;
5.94;48.54857;
5.96;40.13017;
5.98;40.13017;
6;24.88678;
6.02;15.43203;
6.04;3.672783;
6.06;-5.738065;
6.08;-15.75499;
6.1;-34.83912;
6.12;-44.37378;
6.14;-52.06104;
6.16;-58.91428;
6.18;-64.8763;
6.2;-73.02572;
6.22;-74.9835;
6.24;-76.3009;
6.26;-76.75947;
6.28;-76.45408;
6.3;-73.11881;
6.32;-73.11881;
6.34;-74.31524;
6.36;-71.35775;
6.38;-59.73171;
6.4;-52.64216;
6.42;-45.62514;
6.44;-38.07386;
6.46;-30.18297;
6.48;-13.07547;
6.5;-4.297438;
