Time in ms;Pos hand in x;Pos hand in z;
0.04;0;0;
0.04;0;0;
0.04;0;0;
0.06;0;0;
0.06;0;0;
0.06;0;0;
0.08;0;0;
0.08;0;0;
0.08;0;0;
0.09999999;0;0;
0.09999999;0;0;
0.09999999;0;0;
0.12;0;0;
0.12;0;0;
0.12;0;0;
0.14;0;0;
0.14;0;0;
0.14;0;0;
0.16;0;0;
0.16;0;0;
0.16;0;0;
0.18;0;0;
0.18;0;0;
0.18;0;0;
0.2;0;0;
0.2;0;0;
0.2;0;0;
0.22;0;0;
0.22;0;0;
0.22;0;0;
0.24;0;0;
0.24;0;0;
0.24;0;0;
0.26;0;0;
0.26;0;0;
0.26;0;0;
0.28;0;0;
0.28;0;0;
0.28;0;0;
0.3;0;0;
0.3;0;0;
0.3;0;0;
0.32;0;0;
0.32;0;0;
0.32;0;0;
0.34;0;0;
0.34;0;0;
0.34;0;0;
0.36;0;0;
0.36;0;0;
0.36;0;0;
0.38;0;0;
0.38;0;0;
0.38;0;0;
0.4;0;0;
0.4;0;0;
0.4;0;0;
0.42;0;0;
0.42;0;0;
0.42;0;0;
0.44;0;0;
0.44;0;0;
0.44;0;0;
0.46;0;0;
0.46;0;0;
0.46;0;0;
0.48;0;0;
0.48;0;0;
0.48;0;0;
0.5;0;0;
0.5;0;0;
0.5;0;0;
0.52;0;0;
0.52;0;0;
0.52;0;0;
0.54;0;0;
0.54;0;0;
0.54;0;0;
0.56;0;0;
0.56;0;0;
0.56;0;0;
0.58;0;0;
0.58;0;0;
0.58;0;0;
0.6;0;0;
0.6;0;0;
0.6;0;0;
0.62;0;0;
0.62;0;0;
0.62;0;0;
0.64;0;0;
0.64;0;0;
0.64;0;0;
0.66;0;0;
0.66;0;0;
0.66;0;0;
0.68;0;0;
0.68;0;0;
0.68;0;0;
0.7;0;0;
0.7;0;0;
0.7;0;0;
0.72;0;0;
0.72;0;0;
0.72;0;0;
0.74;0;0;
0.74;0;0;
0.74;0;0;
0.76;0;0;
0.76;0;0;
0.76;0;0;
0.78;75.05145;-2.054382;
0.78;75.05145;-2.054382;
0.78;75.05145;-2.054382;
0.8;75.04375;-2.056353;
0.8;75.04375;-2.056353;
0.8;75.04375;-2.056353;
0.82;56.17103;-6.172916;
0.82;56.17103;-6.172916;
0.82;56.17103;-6.172916;
0.84;41.98404;-8.224566;
0.84;41.98404;-8.224566;
0.84;41.98404;-8.224566;
0.86;28.37458;-10.3355;
0.86;28.37458;-10.3355;
0.86;28.37458;-10.3355;
0.88;15.79552;-11.70478;
0.88;15.79552;-11.70478;
0.88;15.79552;-11.70478;
0.9;3.811439;-13.22733;
0.9;3.811439;-13.22733;
0.9;3.811439;-13.22733;
0.92;-6.790388;-14.24249;
0.92;-6.790388;-14.24249;
0.92;-6.790388;-14.24249;
0.94;-16.54926;-15.24347;
0.94;-16.54926;-15.24347;
0.94;-16.54926;-15.24347;
0.96;-32.50102;-16.44451;
0.96;-32.50102;-16.44451;
0.96;-32.50102;-16.44451;
0.98;-38.89569;-17.11114;
0.98;-38.89569;-17.11114;
0.98;-38.89569;-17.11114;
1;-44.10656;-17.79504;
1;-44.10656;-17.79504;
1;-44.10656;-17.79504;
1.02;-48.87017;-19.53022;
1.02;-48.87017;-19.53022;
1.02;-48.87017;-19.53022;
1.04;-52.58227;-21.78137;
1.04;-52.58227;-21.78137;
1.04;-52.58227;-21.78137;
