Time in ms;Pos hand in x;Pos hand in z;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;0;0;
0.58;0;0;
0.6;0;0;
0.62;0;0;
0.64;0;0;
0.66;0;0;
0.68;0;0;
0.7;0;0;
0.72;0;0;
0.74;0;0;
0.76;0;0;
0.78;0;0;
0.8;0;0;
0.82;0;0;
0.84;0;0;
0.86;0;0;
0.88;0;0;
0.9;0;0;
0.92;0;0;
0.94;0;0;
0.96;0;0;
0.98;0;0;
1;0;0;
1.02;0;0;
1.04;0;0;
1.06;0;0;
1.08;0;0;
1.1;0;0;
1.12;0;0;
1.14;0;0;
1.16;109.1574;-17.47306;
1.18;101.0147;-15.64614;
1.2;80.81966;-9.485175;
1.22;74.591;-7.559682;
1.24;63.47795;-4.057223;
1.26;58.50991;-3.038814;
1.28;53.88769;-2.093873;
1.3;45.80147;-0.552152;
1.32;35.99464;-0.6416588;
1.34;31.62725;-1.773565;
1.36;28.25781;-4.735166;
1.38;26.86024;-6.432824;
1.4;24.54601;-10.94429;
1.42;22.50314;-20.4068;
1.44;21.91398;-25.41762;
1.46;23.79624;-31.46291;
1.48;22.69423;-33.46893;
1.5;21.73801;-37.67436;
1.52;21.53394;-44.65487;
1.54;21.17938;-46.21745;
1.56;20.83009;-51.68348;
1.58;20.29611;-55.76176;
1.6;19.73256;-59.27313;
1.62;18.9484;-66.91921;
1.64;18.84988;-71.44478;
1.66;18.5617;-73.00226;
1.68;17.44302;-78.30674;
1.7;17.59296;-79.71892;
1.72;15.20695;-88.03893;
1.74;14.50028;-91.65049;
1.76;14.53756;-95.32749;
1.78;14.54697;-95.91504;
1.8;14.53286;-97.61386;
1.82;14.7229;-100.8313;
1.84;14.73002;-103.0255;
1.86;14.8684;-105.863;
1.88;15.1983;-107.5827;
1.9;15.3357;-108.1478;
1.92;16.70291;-109.9211;
1.94;17.64846;-110.3001;
1.96;18.85369;-110.4925;
1.98;19.74719;-110.5439;
2;26.78345;-109.4675;
2.02;31.04121;-107.9032;
2.04;35.84828;-105.1741;
2.06;38.76898;-103.45;
2.08;46.09839;-99.00892;
2.1;55.14606;-89.71448;
2.12;62.11575;-77.82018;
2.14;63.56946;-71.86204;
2.16;63.24422;-59.43444;
2.18;60.37675;-46.81512;
2.2;51.24294;-17.58885;
2.22;48.937;-9.554985;
2.24;41.07837;4.741786;
2.26;38.61469;11.24024;
2.28;32.36767;22.62967;
2.3;16.8831;47.6144;
2.32;15.04728;51.18188;
2.34;9.719358;63.36327;
2.36;8.653755;66.83655;
2.38;6.169277;76.14422;
2.4;4.433518;81.90448;
2.42;4.372192;85.30882;
2.44;4.123851;87.09422;
2.46;4.089542;88.63866;
2.48;4.095288;93.43732;
2.5;3.769475;96.61529;
2.52;4.220296;97.85633;
2.54;4.278219;98.88985;
2.56;4.425135;99.54837;
2.58;4.476954;99.95174;
2.6;5.450624;100.2155;
2.62;5.429368;101.2277;
2.64;5.636504;101.6908;
2.66;5.41609;101.9871;
2.68;5.176926;102.511;
2.7;6.027142;102.3606;
2.72;5.737398;102.3054;
2.74;6.442578;101.3796;
2.76;7.268163;100.6659;
2.78;10.06319;99.07901;
2.8;10.56958;98.80131;
2.82;10.51762;97.93559;
2.84;9.387301;95.66502;
2.86;9.752251;94.33271;
2.88;11.54955;86.50785;
2.9;11.73931;81.98626;
2.92;10.93711;79.01911;
2.94;12.54349;66.48499;
2.96;13.01894;57.8475;
2.98;13.09787;38.33268;
3;12.77945;33.49843;
3.02;11.53289;17.91567;
3.04;11.22489;13.53468;
3.06;8.445087;-3.721723;
3.08;6.024473;-21.25337;
3.1;6.024473;-21.25337;
3.12;4.853577;-28.03079;
3.14;4.364797;-31.44111;
3.16;2.027478;-43.07902;
3.18;1.529829;-45.66386;
3.2;0.7468876;-50.94128;
3.22;-1.099387;-60.30345;
3.24;-1.339559;-64.77415;
3.26;-1.871114;-66.73296;
3.28;-2.23871;-70.74877;
3.3;-2.299026;-78.36483;
3.32;-2.469949;-79.92741;
3.34;-2.055051;-83.49192;
3.36;-1.274649;-86.12512;
3.38;-1.136444;-86.78508;
3.4;-0.4955099;-89.06953;
3.42;-0.6117825;-89.85155;
3.44;-1.063087;-91.54808;
3.46;-1.227722;-92.05046;
3.48;-1.723244;-92.82515;
3.5;-2.294622;-93.92155;
3.52;-2.419761;-94.15072;
3.54;-2.691091;-94.76591;
3.56;-3.16914;-96.70132;
3.58;-3.194102;-97.10032;
3.6;-3.106775;-97.6237;
3.62;-2.613734;-98.69164;
3.64;-2.074788;-98.92432;
3.66;-1.930951;-98.95914;
3.68;-1.749165;-98.90204;
3.7;-1.120934;-98.17825;
3.72;-1.050055;-98.0331;
3.74;-0.8436493;-97.4885;
3.76;-0.8760875;-97.12721;
3.78;-0.7800475;-96.6238;
3.8;-0.8894793;-95.78206;
3.82;-0.9159078;-95.5748;
3.84;-1.111621;-95.2059;
3.86;-1.188045;-95.08293;
3.88;-1.263003;-94.97131;
3.9;-1.510456;-94.07659;
3.92;-1.754604;-93.43918;
3.94;-1.79998;-93.30151;
3.96;-1.917212;-92.7048;
3.98;-1.944523;-92.58589;
4;-1.906572;-91.47383;
4.02;-1.90589;-91.10812;
4.04;-1.865587;-90.97138;
4.06;-1.826841;-90.7923;
4.08;-1.648401;-90.3632;
4.1;-1.282299;-89.65829;
4.12;-1.204628;-89.494;
4.14;-1.118218;-89.26521;
4.16;-1.080883;-89.14372;
4.18;-1.045426;-89.04445;
4.2;-0.7203875;-88.44438;
4.22;-0.4973113;-87.73345;
4.24;-0.4871696;-87.31101;
4.26;-0.6562927;-86.32057;
4.28;-1.09226;-84.84373;
4.3;-1.619214;-81.72849;
4.32;-2.314171;-76.124;
4.34;-2.400603;-74.41153;
4.36;-2.844123;-69.67537;
4.38;-3.822934;-59.8587;
4.4;-4.187533;-54.82424;
4.42;-4.335343;-52.37612;
4.44;-4.768707;-47.12275;
4.46;-4.841102;-42.05434;
4.48;-4.209976;-27.05888;
4.5;-3.898308;-24.06084;
4.52;-3.735107;-18.1645;
4.54;-3.33218;-9.591866;
4.56;-3.064602;-6.614244;
4.58;-3.740764;2.596175;
4.6;-4.293108;7.364274;
4.62;-4.127568;10.31114;
4.64;-3.879876;20.20796;
4.66;-3.933006;25.30533;
4.68;-3.240935;34.84955;
4.7;-3.029306;36.9018;
4.72;-2.569445;43.0275;
4.74;-2.304341;44.40063;
4.76;-0.7049284;49.25367;
4.78;-0.07657556;54.87831;
4.8;0.3322197;56.20797;
4.82;0.2454872;59.60816;
4.84;0.09517036;61.0868;
4.86;0.9402177;68.67957;
4.88;0.9666802;69.46003;
4.9;1.865744;73.47861;
4.92;1.958393;75.69772;
4.94;1.601487;76.5885;
4.96;1.9341;82.02255;
4.98;2.569301;83.25412;
5;4.089084;86.05429;
5.02;3.793539;87.0713;
5.04;3.546356;87.61999;
5.06;3.914463;88.90206;
5.08;4.136196;89.23607;
5.1;4.585802;90.19738;
5.12;5.035746;90.59199;
5.14;5.528186;90.513;
5.16;5.783414;90.55385;
5.18;6.326069;90.93415;
5.2;6.890118;90.94885;
5.22;6.74807;91.18907;
5.24;6.86095;91.35475;
5.26;5.306975;92.94569;
5.28;4.475468;93.15439;
5.3;4.786282;93.57632;
5.32;4.696657;93.71034;
5.34;4.6609;93.98111;
5.36;5.140631;94.81392;
5.38;4.964793;94.54616;
5.4;4.773783;94.5916;
5.42;4.790783;94.58134;
5.44;4.775309;94.19265;
5.46;4.849452;93.96273;
5.48;4.654849;93.02306;
5.5;6.006106;91.79688;
5.52;6.534199;91.46149;
5.54;8.11797;90.01302;
5.56;8.87042;88.61904;
5.58;10.12487;86.57703;
5.6;11.6241;83.38943;
5.62;11.72281;82.02932;
5.64;13.50149;74.93416;
5.66;14.97333;71.82578;
5.68;16.60009;68.41612;
5.7;16.79262;64.2483;
5.72;15.50237;59.21169;
5.74;15.42465;50.36427;
5.76;15.49334;42.66409;
5.78;15.50428;36.98713;
5.8;15.14466;34.57777;
5.82;14.46359;26.43166;
5.84;12.1649;13.84354;
5.86;11.62825;10.79394;
5.88;9.863246;0.9232097;
5.9;9.38472;-1.753734;
5.92;9.029053;-4.380933;
5.94;5.061366;-21.57668;
5.96;4.873295;-24.3065;
5.98;4.630835;-34.77082;
6;4.801489;-37.1269;
6.02;4.99705;-47.21579;
6.04;4.817454;-49.58323;
6.06;4.342543;-55.61752;
6.08;4.221206;-59.65045;
6.1;3.846968;-61.41188;
6.12;3.58954;-67.38328;
6.14;3.078451;-70.61848;
6.16;3.386384;-72.69852;
6.18;3.28872;-73.8472;
6.2;3.089081;-75.1198;
6.22;3.049391;-79.16122;
6.24;2.999494;-79.8279;
6.26;3.06609;-80.30921;
6.28;3.029299;-80.41531;
6.3;2.755583;-81.06127;
6.32;1.94542;-82.07725;
6.34;1.818363;-82.35005;
6.36;1.419476;-82.86713;
6.38;1.310313;-83.05259;
6.4;0.9626873;-83.69647;
6.42;0.8652064;-83.84991;
6.44;0.684534;-84.19674;
6.46;0.6618589;-84.36926;
6.48;0.754405;-84.90281;
6.5;1.336035;-85.64568;
6.52;1.63528;-85.95225;
6.54;2.345313;-87.20528;
