Time in ms;Pos hand in x;
-0.01293168;0;
0.007068318;0;
0.02706832;0;
0.04706832;0;
0.06706832;0;
0.08706832;0;
0.1070683;0;
0.1270683;0;
0.1470683;0;
0.1670683;0;
0.1870683;0;
0.2070683;0;
0.2270683;0;
0.2470683;0;
0.2670683;0;
0.2870683;0;
0.3070683;0;
0.3270683;0;
0.3470683;0;
0.3670683;0;
0.3870683;0;
0.4070683;0;
0.4270683;0;
0.4470683;0;
0.4670683;0;
0.4870683;0;
0.5070683;0;
0.5270683;0;
0.5470683;0;
0.5670683;0;
0.5870683;0;
0.6070683;0;
0.6270683;0;
0.6470683;0;
0.6670683;0;
0.6870683;0;
0.7070683;0;
0.7270683;0;
0.7470683;72.569;
0.7670683;65.09631;
0.7870683;65.09631;
0.8070683;54.34866;
0.8270683;51.37658;
0.8470683;49.04515;
0.8670683;46.43869;
0.8870683;45.82613;
0.9070683;45.11406;
0.9270683;44.69337;
0.9470683;44.3718;
0.9670683;44.36596;
0.9870683;44.22812;
1.007068;44.34908;
1.027068;44.43636;
1.047068;44.81629;
1.067068;45.88294;
1.087068;45.898;
1.107068;46.21785;
1.127068;47.05835;
1.147068;47.9601;
1.167068;47.84174;
1.187068;48.66773;
1.207068;48.94693;
1.227068;48.86869;
1.247068;49.14301;
1.267068;49.23014;
1.287068;49.47675;
1.307068;49.27642;
1.327068;48.62045;
1.347068;48.42038;
1.367068;48.00432;
1.387068;47.41211;
1.407068;46.53637;
1.427068;46.01286;
1.447068;45.08997;
1.467068;44.27465;
1.487068;43.62935;
1.507068;43.2344;
1.527068;42.40294;
1.547068;39.49026;
1.567068;39.16707;
1.587068;38.48298;
1.607068;38.08511;
1.627068;37.90441;
1.647068;37.12497;
1.667068;36.09715;
1.687068;34.60524;
1.707068;33.77914;
1.727068;33.16766;
1.747068;32.29842;
1.767068;31.95436;
1.787068;31.31142;
1.807068;30.50876;
1.827068;28.54494;
1.847068;28.2023;
1.867068;27.42311;
1.887068;27.42311;
1.907068;26.88751;
1.927068;26.65772;
1.947068;26.58681;
1.967068;26.61381;
1.987068;27.21314;
2.007068;28.01786;
2.027068;29.49887;
2.047068;30.07004;
2.067068;30.97491;
2.087068;32.04873;
2.107068;32.3811;
2.127068;33.74651;
2.147068;34.27035;
2.167068;34.69217;
2.187068;35.3156;
2.207068;36.81728;
2.227068;37.92248;
2.247068;38.98408;
2.267068;39.69801;
2.287068;40.50766;
2.307068;42.0229;
2.327068;42.76623;
2.347068;43.21799;
2.367068;44.15934;
2.387068;44.61609;
2.407068;44.9072;
2.427068;46.0082;
2.447068;46.28374;
2.467068;47.31676;
2.487068;47.8578;
2.507068;49.26634;
2.527068;49.87962;
2.547068;50.11094;
2.567068;50.30555;
2.587068;50.48089;
2.607068;50.30946;
2.627068;50.62225;
2.647068;50.58452;
2.667068;51.11787;
2.687068;51.28245;
2.707068;50.64512;
2.727068;50.433;
2.747068;50.43848;
2.767068;50.54144;
2.787068;50.88413;
2.807068;51.39272;
2.827068;51.90334;
2.847068;53.12229;
2.867068;54.37243;
2.887068;57.07025;
2.907068;58.07327;
2.927068;59.29795;
2.947068;60.18427;
2.967068;61.17411;
