Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;53.46925;-22.24158;
0.36;52.45693;-22.08753;
0.38;49.33419;-20.94068;
0.4;46.46522;-19.395;
0.42;42.1529;-15.99723;
0.44;40.60062;-14.63427;
0.46;39.33004;-13.41528;
0.48;38.21164;-12.44106;
0.5;37.2414;-11.60545;
0.52;35.42707;-10.29178;
0.54;34.97676;-9.977392;
0.56;33.6652;-9.147472;
0.58;33.1781;-8.894858;
0.6;32.25887;-8.492933;
0.62;30.2218;-8.226203;
0.64;28.64563;-9.111719;
0.66;27.01439;-11.17317;
0.68;26.2894;-12.51358;
0.7;23.95452;-19.78629;
0.72;22.68499;-23.78944;
0.74;21.31886;-28.0295;
0.76;19.82782;-32.63619;
0.78;18.65938;-37.32054;
0.8;16.45453;-46.69735;
0.82;15.34476;-51.08904;
0.84;13.82279;-55.35308;
0.86;12.46538;-58.49495;
0.88;9.964538;-61.72612;
0.9;6.24063;-64.78656;
0.92;3.050678;-65.87756;
0.94;-0.583134;-66.2371;
0.96;-4.887802;-65.89238;
0.98;-10.27831;-65.12554;
1;-21.9693;-63.24793;
1.02;-27.6262;-62.12144;
1.04;-33.65692;-60.52017;
1.06;-39.80505;-58.66256;
1.08;-42.70089;-57.51305;
1.1;-54.06868;-52.79141;
1.12;-59.71738;-50.39779;
1.14;-64.65147;-47.99158;
1.16;-69.4922;-46.15631;
1.18;-73.9075;-44.37545;
1.2;-82.16565;-41.30912;
1.22;-85.28869;-40.26841;
1.24;-88.03559;-39.53069;
1.26;-90.38048;-39.06956;
1.28;-92.65125;-38.28659;
1.3;-93.74377;-37.87934;
1.32;-94.54986;-37.45116;
