Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0;0;0;
0;0;0;
0.02;4.661558;-15.87988;
0.02;4.661558;-15.87988;
0.02;4.661558;-15.87988;
0.04;4.565266;-15.72514;
0.04;4.565266;-15.72514;
0.04;4.565266;-15.72514;
0.06;4.565266;-15.72514;
0.06;4.565266;-15.72514;
0.06;4.565266;-15.72514;
0.08;4.565266;-15.72514;
0.08;4.565266;-15.72514;
0.08;4.565266;-15.72514;
0.09999999;4.565266;-15.72514;
0.09999999;4.565266;-15.72514;
0.09999999;4.565266;-15.72514;
0.12;4.565266;-15.72514;
0.12;4.565266;-15.72514;
0.12;4.565266;-15.72514;
0.14;4.561535;-15.71637;
0.14;4.561535;-15.71637;
0.14;4.561535;-15.71637;
0.16;4.561535;-15.71637;
0.16;4.561535;-15.71637;
0.16;4.561535;-15.71637;
0.18;4.561535;-15.71637;
0.18;4.561535;-15.71637;
0.18;4.561535;-15.71637;
0.2;4.558197;-15.70852;
0.2;4.558197;-15.70852;
0.2;4.558197;-15.70852;
0.22;4.554852;-15.6959;
0.22;4.554852;-15.6959;
0.22;4.554852;-15.6959;
0.24;4.552605;-15.68424;
0.24;4.552605;-15.68424;
0.24;4.552605;-15.68424;
0.26;4.551929;-15.67952;
0.26;4.551929;-15.67952;
0.26;4.551929;-15.67952;
0.28;4.55163;-15.67214;
0.28;4.55163;-15.67214;
0.28;4.55163;-15.67214;
0.3;4.555735;-15.65851;
0.3;4.555735;-15.65851;
0.3;4.555735;-15.65851;
0.32;4.560833;-15.6539;
0.32;4.560833;-15.6539;
0.32;4.560833;-15.6539;
0.34;4.56246;-15.65257;
0.34;4.56246;-15.65257;
0.34;4.56246;-15.65257;
0.36;4.566992;-15.6492;
0.36;4.566992;-15.6492;
0.36;4.566992;-15.6492;
0.38;4.57283;-15.64722;
0.38;4.57283;-15.64722;
0.38;4.57283;-15.64722;
0.4;4.585439;-15.64629;
0.4;4.585439;-15.64629;
0.4;4.585439;-15.64629;
0.42;4.593862;-15.64569;
0.42;4.593862;-15.64569;
0.42;4.593862;-15.64569;
0.44;4.603634;-15.64587;
0.44;4.603634;-15.64587;
0.44;4.603634;-15.64587;
